year,days
1897,147
1898,169
1899,135
1900,135
1901,137
1902,131
1903,147
1904,185
1905,127
1906,116
1907,165
1908,170
1909,176
1910,182
1911,149
1912,174
1913,125
1914,128
1915,190
1916,155
1917,139
1918,115
1919,175
1920,141
1921,110
1922,129
1923,164
1924,135
1925,91
1926,130
1927,163
1928,127
1929,75
1930,122
1931,140
1932,65
1933,55
1934,110
1935,117
1936,151
1937,108
1955,135
1956,111
1957,82
1958,125
1959,143
1960,141
1961,141
1962,152
1963,150
1964,92
1965,150
1966,162
1967,142
1968,125
1969,153
1970,191
1971,178
1972,120
1973,114
1974,146
1975,129
1976,150
1977,165
1978,152
1979,182
1980,156
1981,157
1982,148
1983,128
1984,121
1985,138
1986,139
1987,127
1988,141
1989,5
1990,27
1991,97
1992,39
1993,70
1994,119
1995,123
1996,116
1997,69
1998,39
1999,121
2000,57
2001,150
2002,129
2003,113
2004,108
2005,37
2006,120
2007,58
2008,131
2009,101
2010,144
2011,117
2012,95
2013,108
2014,81
2015,97
2016,84
2017,55
2018,115
2019,125
2020,34
2021,110
2022,96
